 nodeID, x, y, ux, uy, sx, sy, sxy
53100,15.9129,-291.936,0.533984,0.951526,-0.199905,-0.600398,-0.166458
53101,17.1356,-291.867,0.56184,0.876847,-0.191324,-0.549015,-0.173153
53102,18.358,-291.793,0.586587,0.800243,-0.183391,-0.495248,-0.177675
53103,19.5801,-291.713,0.608006,0.722631,-0.176256,-0.439801,-0.179558
53104,20.8019,-291.629,0.625933,0.645033,-0.169959,-0.383615,-0.178313
53105,22.0233,-291.539,0.640287,0.568555,-0.164385,-0.327917,-0.173499
53106,23.2443,-291.444,0.651108,0.494365,-0.159226,-0.274235,-0.164822
53107,24.4648,-291.344,0.658597,0.423629,-0.153978,-0.224373,-0.152306
53108,25.685,-291.239,0.663141,0.357416,-0.148029,-0.180167,-0.136606
53109,26.9047,-291.129,0.665304,0.296493,-0.140928,-0.142829,-0.119246
53110,28.124,-291.014,0.665711,0.241097,-0.132689,-0.112397,-0.101849
53111,29.3427,-290.893,0.664909,0.191162,-0.123705,-0.0880974,-0.0854248
53112,30.5609,-290.768,0.663331,0.146445,-0.114458,-0.0689404,-0.0705307
53113,31.7786,-290.637,0.661293,0.106606,-0.105376,-0.0539485,-0.0574043
53114,32.9958,-290.502,0.65901,0.0712628,-0.0967852,-0.0422456,-0.0460712
53115,34.2123,-290.361,0.656619,0.0400247,-0.0889008,-0.0330931,-0.0364301
53116,35.4283,-290.215,0.654195,0.0125161,-0.0818359,-0.0258945,-0.0283152
53117,36.6436,-290.064,0.651776,-0.011614,-0.0756262,-0.0201829,-0.0215374
53118,37.8583,-289.908,0.649369,-0.0326872,-0.0702532,-0.0156019,-0.0159103
53119,39.0723,-289.747,0.646966,-0.0509945,-0.0656648,-0.0118843,-0.0112631
53120,40.2857,-289.581,0.644551,-0.066798,-0.061791,-0.00883205,-0.00744681
53121,41.4983,-289.409,0.642103,-0.0803333,-0.0585552,-0.00629939,-0.00433426
53122,42.7102,-289.233,0.639599,-0.0918123,-0.0558805,-0.00417897,-0.00181899
53123,43.9214,-289.052,0.637019,-0.101426,-0.0536937,-0.00239134,0.000187754
53124,45.1318,-288.865,0.634344,-0.109348,-0.0519277,-0.000877168,0.00175992
53125,46.3414,-288.674,0.631557,-0.115735,-0.0505216,0.000408409,0.00295931
53126,47.5501,-288.477,0.628644,-0.120729,-0.0494208,0.0014998,0.00383789
53127,48.7581,-288.275,0.625595,-0.124461,-0.0485772,0.00242384,0.00443968
53128,49.9652,-288.068,0.6224,-0.127051,-0.0479479,0.00320176,0.00480228
53129,51.1714,-287.857,0.619053,-0.128608,-0.0474954,0.00385069,0.00495802
53130,52.3767,-287.64,0.615551,-0.129234,-0.0471865,0.00438466,0.00493498
53131,53.5811,-287.418,0.611891,-0.12902,-0.0469922,0.00481538,0.00475765
53132,54.7846,-287.191,0.608074,-0.128052,-0.0468869,0.00515275,0.00444759
53133,55.9871,-286.959,0.604101,-0.12641,-0.0468486,0.00540533,0.00402387
53134,57.1886,-286.722,0.599975,-0.124166,-0.0468576,0.0055806,0.00350344
53135,58.3891,-286.48,0.5957,-0.121388,-0.0468971,0.0056852,0.00290146
53136,59.5886,-286.233,0.591282,-0.118137,-0.0469524,0.00572512,0.00223149
53137,60.787,-285.981,0.586727,-0.11447,-0.0470109,0.0057058,0.00150575
53138,61.9844,-285.723,0.582041,-0.110441,-0.0470616,0.00563226,0.000735252
53139,63.1807,-285.461,0.577233,-0.106098,-0.0470953,0.00550916,-7.00836e-05
53140,64.3759,-285.194,0.57231,-0.101485,-0.047104,0.00534084,-0.000901279
53141,65.5699,-284.922,0.567282,-0.0966438,-0.0470811,0.0051314,-0.00175023
53142,66.7628,-284.645,0.562156,-0.0916116,-0.0470211,0.00488471,-0.00260959
53143,67.9546,-284.363,0.556943,-0.0864227,-0.0469195,0.00460443,-0.00347277
53144,69.1451,-284.075,0.551652,-0.0811086,-0.0467726,0.00429404,-0.0043338
53145,70.3344,-283.783,0.546291,-0.0756976,-0.0465777,0.00395687,-0.00518732
53146,71.5225,-283.486,0.540871,-0.0702158,-0.0463327,0.00359607,-0.00602851
53147,72.7093,-283.184,0.5354,-0.0646863,-0.046036,0.00321464,-0.00685308
53148,73.8949,-282.877,0.529889,-0.0591303,-0.0456869,0.00281544,-0.00765721
53149,75.0792,-282.565,0.524345,-0.0535666,-0.0452847,0.0024012,-0.00843749
53150,76.2621,-282.248,0.518779,-0.0480119,-0.0448297,0.0019745,-0.00919095
53151,77.4437,-281.926,0.513198,-0.0424812,-0.0443221,0.0015378,-0.00991495
53152,78.6239,-281.599,0.507611,-0.0369874,-0.0437627,0.00109342,-0.0106072
53153,79.8028,-281.268,0.502027,-0.0315419,-0.0431524,0.000643557,-0.0112658
53154,80.9803,-280.931,0.496453,-0.0261544,-0.0424927,0.000190287,-0.0118891
53155,82.1563,-280.589,0.490897,-0.0208333,-0.041785,-0.000264437,-0.0124756
53156,83.3309,-280.243,0.485367,-0.0155854,-0.0410309,-0.000718777,-0.0130242
53157,84.5041,-279.891,0.479868,-0.0104164,-0.0402323,-0.00117101,-0.013534
53158,85.6757,-279.535,0.474408,-0.00533053,-0.0393913,-0.00161953,-0.0140042
53159,86.8459,-279.173,0.468992,-0.000331152,-0.0385099,-0.00206282,-0.0144344
53160,88.0145,-278.807,0.463627,0.00457954,-0.0375903,-0.00249948,-0.0148241
53161,89.1816,-278.436,0.458318,0.00940034,-0.0366348,-0.0029282,-0.0151732
53162,90.3471,-278.06,0.453069,0.0141309,-0.0356459,-0.00334776,-0.0154816
53163,91.5111,-277.679,0.447886,0.0187718,-0.034626,-0.00375703,-0.0157492
53164,92.6734,-277.293,0.442773,0.0233244,-0.0335775,-0.00415495,-0.0159763
53165,93.8341,-276.903,0.437733,0.0277907,-0.0325029,-0.00454055,-0.0161631
53166,94.9932,-276.507,0.43277,0.0321734,-0.031405,-0.00491293,-0.01631
