contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,26.99999999999995,249.99999999999994,4.7061956389984485e-08,6.254997691590109e-08,-2.4712600240532322e-08
inner,27.33333333333328,249.99999999999994,5.147883242605151e-08,6.72715326828282e-08,-2.7349826448912415e-08
inner,27.666666666666607,249.99999999999997,5.649750369676757e-08,7.224151268451388e-08,-3.03774194007466e-08
inner,27.999999999999936,249.99999999999997,6.239434826269018e-08,7.755948877810597e-08,-3.396131013269753e-08
inner,28.333333333333268,249.99999999999994,6.963257534256823e-08,8.338612127890178e-08,-3.837640564650919e-08
inner,28.666666666666597,249.99999999999997,7.902887849222831e-08,8.994507612013299e-08,-4.4159569508678177e-08
inner,28.99999999999998,249.99999999999997,9.271942439283046e-08,9.790040361835311e-08,-5.25410490833955e-08
inner,29.333333333333307,249.99999999999997,1.1513886520447562e-07,1.0761071356213139e-07,-6.728495302569436e-08
inner,29.666666666666636,250.0,1.8872361876097359e-07,1.376198136541185e-07,-9.799370377787003e-08
inner,29.999999999999964,249.99999999999997,2.473496054812257e-07,1.6324306757777436e-07,-1.194298853817922e-07
mid,-30.000000000000068,274.9450062191885,2.9677332825502873e-08,-2.2782971841248803e-11,2.5731614218646508e-09
mid,-29.623387741107585,274.9450062191885,3.041470663755521e-08,-1.466130998818704e-11,4.666169530197312e-09
mid,-29.2467754822151,274.94500621918854,3.171741708363622e-08,5.609959606087209e-11,8.953295432849308e-09
mid,-28.870163223322614,274.9450062191885,3.266664471865695e-08,2.3277001158502566e-10,1.3075543186375052e-08
mid,-28.49355096443013,274.94500621918854,3.324697670607395e-08,5.108711643100225e-10,1.704685958200846e-08
mid,-28.116938705537645,274.94500621918854,3.34701961590991e-08,8.67723492254448e-10,2.086361534358238e-08
mid,-27.740326446645163,274.9450062191885,3.3366427484417087e-08,1.2686762120044967e-09,2.4514609299850314e-08
mid,-27.36371418775278,274.9450062191885,3.2976284864596124e-08,1.6725833950901684e-09,2.7987036028724458e-08
mid,-26.987101928860298,274.9450062191885,3.234447995132568e-08,2.036146560320301e-09,3.126956469254205e-08
mid,-26.610489669967812,274.9450062191885,3.1514973814528835e-08,2.3170325060879076e-09,3.4353478429652966e-08
mid,-26.233877411075326,274.9450062191885,3.052755044467642e-08,2.4758548049195055e-09,3.723260058243579e-08
mid,-25.857265152182844,274.9450062191885,2.9415591447670236e-08,2.4772015980057124e-09,3.990253481181078e-08
mid,-25.480652893290358,274.94500621918854,2.8204799642669704e-08,2.289927853573901e-09,4.235958036079608e-08
mid,-25.104040634397876,274.9450062191885,2.6912625160200407e-08,1.8869278734433887e-09,4.4599553534991696e-08
mid,-24.72742837550539,274.94500621918854,2.5548173572077186e-08,1.2445794893588077e-09,4.661664909783382e-08
mid,-24.350816116613007,274.9450062191885,2.4112410356016927e-08,3.420167314237728e-10,4.840240623341203e-08
mid,-23.974203857720525,274.9450062191885,2.2598512502266827e-08,-8.396492282880981e-10,4.9944797802475043e-08
mid,-23.59759159882799,274.94500621918854,2.0992252026015738e-08,-2.318075093021298e-09,5.1227433734628514e-08
mid,-23.220979339935557,274.9450062191885,1.927232509502138e-08,-4.110338937665998e-09,5.2228854865865915e-08
mid,-22.84436708104307,274.94500621918854,1.741056335453636e-08,-6.233466018822058e-09,5.2921888329804374e-08
mid,-22.46775482215059,274.94500621918854,1.5371980662128097e-08,-8.704805050023513e-09,5.327303657492599e-08
mid,-22.091142563258103,274.9450062191885,1.3114619217379281e-08,-1.1542241235439017e-08,5.32418768044461e-08
mid,-21.71453030436562,274.94500621918854,1.0589164815477697e-08,-1.4764235250361874e-08,5.278045452585888e-08
