arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure_mpa
-0.9671912319857867,-0.18471991858281364,1,0.27725119487238153,0.27725119487238153,0.004970528721031542,0.004970683561225542,0.6890425135267426,2.4852643605157703e-06
-0.6902853549124899,-0.13183479165391931,1,0.27656053961460725,0.27656053961460725,0.004970988509995777,0.004971099129079448,0.6873896323712223,2.4854942549978885e-06
-0.41395030929383125,-0.07905868550223863,1,0.2761095320847557,0.2761095320847557,0.004971294797911696,0.004971361014270315,0.6863109402533893,2.4856473989558485e-06
-0.1379477691894948,-0.02634608322600955,1,0.27589552865590466,0.27589552865590466,0.004971447616924252,0.004971469630675074,0.6858000842282269,2.4857238084621257e-06
0.1379477691889619,0.026346083225907774,1,0.27589552865590466,0.27589552865590466,0.004971447616952673,0.004971469630675074,0.6858000842321477,2.4857238084763368e-06
0.4139503092930319,0.07905868550208596,1,0.2761095320847557,0.2761095320847557,0.004971294797911697,0.004971361014270315,0.6863109402533893,2.4856473989558485e-06
0.690285354911957,0.13183479165381753,1,0.27656053961460747,0.27656053961460747,0.004970988509967356,0.004971099129022605,0.6873896323672928,2.4854942549836783e-06
0.9671912319852538,0.18471991858271186,1,0.2772511948723812,0.2772511948723812,0.004970528721031541,0.004970683561225542,0.6890425135267418,2.4852643605157707e-06
1.2448924370159098,0.23775694196255764,1,0.27815119535937616,0.27815119535937616,0.004969914287073607,0.0049701141904847645,0.6911937998915827,2.484957143536803e-06
1.5236079021491378,0.2909876747530897,1,0.2792797148593695,0.2792797148593695,0.004969143088686678,0.004969388436848021,0.6938904324519111,2.484571544343339e-06
1.8035701097486978,0.3444565178151569,1,0.28064468002169224,0.28064468002169224,0.00496821413582893,0.004968505118824851,0.6971514332144791,2.484107067914465e-06
2.085020362321366,0.39820955653284,1,0.2822558044797395,0.2822558044797395,0.004967120778019307,0.004967461045453092,0.7009993355739346,2.4835603890096537e-06
2.3682557772277235,0.45230353614207686,1,0.2842150042937868,0.2842150042937868,0.0049658664447918,0.00496625036697651,0.7056868764644366,2.4829332223958994e-06
2.6535485595489128,0.5067904439839057,1,0.2863705388471689,0.2863705388471689,0.00496444872385382,0.004964883323225422,0.7108359280645793,2.48222436192691e-06
2.941136457625948,0.5617156866467476,1,0.28880523528213053,0.28880523528213053,0.004962857124866105,0.004963341435598068,0.7166495598092766,2.4814285624330517e-06
3.231308548511791,0.6171344737808988,1,0.29153892386541674,0.29153892386541674,0.004961090474495221,0.004961626139788677,0.7231754890666534,2.480545237247611e-06
3.5243734092836654,0.6731057392669572,1,0.2945907743704507,0.2945907743704507,0.004959143204530392,0.004959731796077449,0.7304589184182833,2.479571602265196e-06
3.820659942102811,0.7296922987906285,1,0.29798226718212945,0.29798226718212945,0.004957009383304012,0.004957652754001174,0.7385504472400094,2.478504691652006e-06
4.120519752927709,0.7869613041434883,1,0.3017373294997615,0.3017373294997615,0.004954682140777322,0.004955382404205011,0.7475062788391553,2.477341070388661e-06
4.424329673255034,0.8449847248400266,1,0.305882485186636,0.305882485186636,0.0049521536336101235,0.004952913204476772,0.7573885302373471,2.4760768168050617e-06
4.732494438641055,0.903839859677554,1,0.31044701848369827,0.31044701848369827,0.00494941490904921,0.0049502365415037275,0.7682655508765459,2.474707454524605e-06
5.045449537929425,0.9636098808986248,1,0.31546315170718864,0.31546315170718864,0.004946455757163903,0.004947342591833603,0.7802122614675465,2.4732278785819514e-06
5.363664247188815,1.0243844136304434,1,0.3209662369691476,0.3209662369691476,0.004943264542930591,0.0049442201566876065,0.7933105093437227,2.4716322714652956e-06
5.687644862326824,1.0862601532686438,1,0.3269949618112796,0.3269949618112796,0.0049398279277568236,0.0049408564447048775,0.8076494222955676,2.4699139638784115e-06
6.017938144150747,1.14934152343543,1,0.33359156846279014,0.33359156846279014,0.004936130593051757,0.004937236733326245,0.8233257733366491,2.4680652965258787e-06
6.355150254373143,1.2137442924902422,1,0.34083261646529855,0.34083261646529855,0.004932122872844501,0.00493333059091583,0.8405141717399683,2.466061436422251e-06
6.700132401572301,1.2796310292964843,1,0.3491316399005448,0.3491316399005448,0.0049278408999668954,0.00492910538008573,0.8602325872872094,2.463920449983448e-06
7.053628248458033,1.3471437629696683,1,0.35786001295139735,0.35786001295139735,0.004923267105596096,0.00492464330693565,0.8809202150859039,2.4616335527980486e-06
7.416269379766582,1.4164031173090996,1,0.36742220548514276,0.36742220548514276,0.004918246889985767,0.004919769111495498,0.9035365597195073,2.459123444992883e-06
7.789309495688546,1.4876485314137646,1,0.3786579782592748,0.3786579782592748,0.004912903431147697,0.004914466256991545,0.9301550403107206,2.4564517155738483e-06
8.173762659000605,1.5610736770078806,1,0.39024829571461034,0.39024829571461034,0.004907103201702512,0.004908889139869643,0.9574943306800565,2.4535516008512557e-06
8.570914444428634,1.6369240807782517,1,0.4040552170862289,0.4040552170862289,0.0049007986371805146,0.004902652641021632,0.9900966286209337,2.450399318590257e-06
8.982370155958375,1.715506333202273,1,0.41885614141303246,0.41885614141303246,0.004894022795781439,0.004896080825801619,1.0249457521142173,2.4470113978907193e-06
9.409598253971119,1.7971008895540455,1,0.435599982325941,0.435599982325941,0.004886566386716139,0.004888813316540563,1.064294115844044,2.44328319335807e-06
9.854720417108442,1.8821129606057199,1,0.45464426217574855,0.45464426217574855,0.00487841610004125,0.004880874740422314,1.1089719441947734,2.439208050020625e-06
10.3202021624198,1.9710134254281342,1,0.4763191349085858,0.4763191349085858,0.004869480347878152,0.004872180766426482,1.1597133333778404,2.434740173939076e-06
10.808856074296713,2.064339448071817,1,0.5009885805997705,0.5009885805997705,0.004859651743714721,0.004862625872419812,1.217315014646419,2.4298258718573603e-06
11.323886318983778,2.1627029792123467,1,0.5290717819969749,0.5290717819969749,0.004848602327399476,0.004852007582144324,1.2826293367759605,2.4243011636997385e-06
11.869780326304191,2.266961054815491,1,0.5627160815882999,0.5627160815882999,0.004836289779063918,0.004839993177370161,1.3607290169501964,2.4181448895319594e-06
12.451774547191086,2.37811376334157,1,0.6012721770555157,0.6012721770555157,0.004822480180109778,0.004826749757455673,1.449811578350841,2.411240090054889e-06
13.076001808085547,2.4973323883624508,1,0.6471821186010438,0.6471821186010438,0.004806573139575221,0.004811487496397149,1.555364093840581,2.4032865697876104e-06
13.751000225751842,2.626247590063409,1,0.702814430517186,0.702814430517186,0.004788286877072778,0.004793930098799137,1.6826385573314098,2.394143438536389e-06
14.48754752665593,2.7669177625752646,1,0.7702797989832579,0.7702797989832579,0.004767007215122021,0.0047736498119093085,1.8359646797079652,2.38350360756101e-06
