radius_ед. длины,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_ед. длины
279.4565163392181,-3.562221243239139e-13,-2.4591008991852705e-06,6.544754113790582e-09,4.951911028329999
279.805164243609,-3.562221243239139e-13,-2.4595426112221725e-06,-1.3625936798805448e-09,4.896119821987698
280.15001741557046,-3.562221243239139e-13,-2.459981425574736e-06,-9.296009871535697e-09,4.84109020792887
280.4911552365549,-3.562221243239139e-13,-2.4604171102648848e-06,-1.7253563658672993e-08,4.786806733291228
280.8286554990524,-3.562221243239139e-13,-2.4608494591186568e-06,-2.523337777377011e-08,4.7332542515833484
281.16259145532047,-3.053332494204976e-13,-2.461278291843584e-06,-3.323364997702854e-08,4.680418389612327
281.49303822170515,-3.053332494204976e-13,-2.4617034540199647e-06,-4.125268044905615e-08,4.628284532243782
281.820068348081,-3.053332494204976e-13,-2.4621248144909764e-06,-4.928885757296211e-08,4.576838526406484
282.14375261240997,-3.053332494204976e-13,-2.462542261500939e-06,-5.734060954564897e-08,4.5260665544122975
282.4641557344344,-3.053332494204976e-13,-2.4629557031057274e-06,-6.54064151274194e-08,4.475955802736691
282.7813466788329,-3.053332494204976e-13,-2.4633650676292866e-06,-7.348484359754042e-08,4.4264928470507465
283.0953894979168,-3.053332494204976e-13,-2.4637702998270387e-06,-8.157451665830538e-08,4.3776650867328035
283.4063459889146,-3.053332494204976e-13,-2.4641713616489435e-06,-8.967411388094219e-08,4.329460325186602
283.71428077292626,-3.053332494204976e-13,-2.4645682306665923e-06,-9.778238827951298e-08,4.281865983582219
284.0192516494632,-3.053332494204976e-13,-2.4649608974622407e-06,-1.0589812468344496e-07,4.234870594155161
284.32131791203943,-3.053332494204976e-13,-2.4653493649225932e-06,-1.1402013650358339e-07,4.188462511303338
284.3213179120395,-0.22377731077182997,-2.464728666709201e-06,-1.1401172590680517e-07,4.160527501845807
284.3213179120395,0.2237773107712193,-2.464728666708636e-06,-1.1401172590637816e-07,4.220662493651975
284.6205335194373,-3.053332494204976e-13,-2.4657336489605032e-06,-1.221472916220182e-07,4.14263096183398
284.62053351943734,-0.2213738830801377,-2.4651270657486443e-06,-1.221381807611493e-07,4.114984973767722
284.62053351943734,0.22137388307957792,-2.4651270657478036e-06,-1.2213818076041075e-07,4.174474103037831
284.9169568534613,-3.053332494204976e-13,-2.46611377805264e-06,-1.3027852889298036e-07,4.097364547025412
284.9169568534613,0.21896196098910145,-2.4655211399975084e-06,-1.302688284660095e-07,4.128849397589905
284.91695685346133,-0.2189619609897121,-2.465521139997747e-06,-1.3026882846625114e-07,4.070008413623458
285.2106408997366,-3.053332494204976e-13,-2.4664897900325824e-06,-1.384128198364165e-07,4.052652747708452
285.21064089973663,-0.21654184527156412,-2.4659109262716553e-06,-1.3840263547426918e-07,4.025587291860096
285.21064089973663,0.21654184527100434,-2.4659109262716384e-06,-1.3840263547415962e-07,4.083777928580248
285.50163797405327,-3.053332494204976e-13,-2.466861732444584e-06,-1.465491637699468e-07,4.008485197529388
285.5016379740533,0.2141138201584818,-2.4662964712762323e-06,-1.4653859598578777e-07,4.039249396955061
285.5016379740533,-0.21411382015904157,-2.466296471276078e-06,-1.4653859598582427e-07,3.9817112330429354
285.7899997131395,-2.5444437451708134e-13,-2.467229662115133e-06,-1.5468660917467622e-07,3.964851684746411
285.7899997131395,-0.21167815382715172,-2.466677831213656e-06,-1.5467575333883568e-07,3.938370017606336
285.7899997131396,0.2116781538265919,-2.4666778312136316e-06,-1.5467575333859436e-07,3.9952536552143925
286.0757759872774,-2.5444437451708134e-13,-2.4675936421373704e-06,-1.6282421220558618e-07,3.9217423163002665
286.07577598727744,0.2092351081529454,-2.4670550686858935e-06,-1.628131585258682e-07,3.9517808729483406
286.07577598727744,-0.20923510815350518,-2.4670550686865614e-06,-1.6281315852675826e-07,3.8955537447668696
286.3590116607138,-2.5444437451708134e-13,-2.4679537457261806e-06,-1.709610833080814e-07,3.8791480019237947
286.35901166071386,-0.20678496787173842,-2.467428256598275e-06,-1.709499168391191e-07,3.8532533131517344
286.35901166071386,0.20678496787117864,-2.467428256597999e-06,-1.709499168384722e-07,3.9088220252996195
286.6397608792345,-2.5444437451708134e-13,-2.4683100520207114e-06,-1.7909638317187213e-07,3.8370583054953196
286.63976087923453,-0.2043279174025743,-2.467797473996137e-06,-1.7908518379107355e-07,3.8114582869401685
286.6397608792346,0.20432791740201453,-2.467797473996545e-06,-1.7908518379096868e-07,3.86636672600642
286.91806183380083,-2.5444437451708134e-13,-2.468662645672703e-06,-1.872292709997636e-07,3.7954652341108224
286.91806183380083,0.20186426091268567,-2.468162805491605e-06,-1.8721811346826537e-07,3.82440704923121
286.9180618338009,-0.20186426091324544,-2.4681628054910356e-06,-1.8721811346821121e-07,3.770160658556625
287.193965839186,-2.5444437451708134e-13,-2.4690116199581797e-06,-1.9535897959689716e-07,3.7543588768147655
287.193965839186,0.19939416860744621,-2.4685243445531125e-06,-1.9534793354637284e-07,3.7829331305567315
287.19396583918603,-0.19939416860795509,-2.468524344552587e-06,-1.9534793354626876e-07,3.7293505178451585
287.46751503476185,-0.1969178732014264,-2.4688821870208735e-06,-2.034738871963364e-07,3.6890193673393923
287.46751503476185,-2.5444437451708134e-13,-2.4693570704333183e-06,-2.0348475720171832e-07,3.7137307434169466
287.46751503476185,0.1969178732009175,-2.4688821870217324e-06,-2.034738871968719e-07,3.7419365350535623
287.73875055736016,-0.19443559935959448,-2.469236433155653e-06,-2.115952009963953e-07,3.649158902615674
287.73875055736016,-2.5444437451708134e-13,-2.4696990970204104e-06,-2.1160583541629523e-07,3.67357253636876
287.73875055736016,0.19443559935908558,-2.4692364331568264e-06,-2.115952009973256e-07,3.7014090186721376
288.00771414602326,-2.5444437451708134e-13,-2.4700378051389594e-06,-2.1972150095904075e-07,3.6338759132901575
288.0077141460233,-0.1919475493300131,-2.4695871888677126e-06,-2.1971115669254251e-07,3.609760776558587
288.0077141460233,0.19194754932950422,-2.4695871888675944e-06,-2.197111566922952e-07,3.661342288646795
288.27444692110856,-0.18945391418030644,-2.469934563513947e-06,-2.2782106734063172e-07,3.5708167800530926
288.27444692110856,-2.5444437451708134e-13,-2.4703733035460537e-06,-2.2783107179727872e-07,3.594632668993513
288.2744469211086,0.18945391417984844,-2.4699345635134464e-06,-2.2782106733990343e-07,3.6217281872079212
