arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
28.88665390768912,5.516944510552245,0.0,0.0,0.0,0.0
30.650538384354054,5.853821630757388,0.0,0.0,0.0,0.0
32.61333042530907,6.2286872974526934,0.0,0.0,0.0,0.0
34.825982763602156,6.651272765832515,0.0,0.0,0.0,0.0
37.35381048564417,7.134052298529769,0.0,0.0,0.0,0.0
40.279080743850756,7.69273776429771,0.0,0.0,0.0,0.0
43.692146203446214,8.344585251086704,0.0,0.0,0.0,0.0
47.66439911136793,9.10322967369498,0.0,0.0,0.0,0.0
52.199886032519856,9.969443869090945,0.0,0.0,0.0,0.0
57.20122837305483,10.924629895800061,0.0,0.0,0.0,0.0
62.50741540704112,11.93803697031491,0.0,0.0,0.0,0.0
67.97272531942724,12.981834276017372,0.0,0.0,0.0,0.0
73.50706847682176,14.038815960336745,0.0,0.0,0.0,0.0
79.06738619884423,15.100758421082359,0.0,0.0,0.0,0.0
84.63642095304147,16.164365712339617,0.0,0.0,0.0,0.0
90.20810326935118,17.228478650713686,0.0,0.0,0.0,0.0
95.78051756147153,18.29273138616994,0.0,0.0,0.0,0.0
101.35311672732658,19.357019429908668,0.0,0.0,0.0,0.0
106.92575857399893,20.421315625083047,0.0,0.0,0.0,0.0
112.49840942875196,21.485613540674112,0.0,0.0,0.0,0.0
118.0710620234569,22.549911788571514,0.0,0.0,0.0,0.0
123.64371492577337,23.61421009521839,0.0,0.0,0.0,0.0
129.21636787785084,24.678508411368917,0.0,0.0,0.0,0.0
134.78902083729815,25.74280672892698,0.0,0.0,0.0,0.0
140.36167379774466,26.807105046675876,0.0,0.0,0.0,0.0
145.93432675831616,27.87140336444864,0.0,0.0,0.0,0.0
151.50697971890202,28.93570168222415,0.0,0.0,0.0,0.0
157.07963267948946,29.999999999999964,0.0,0.0,0.0,0.0
