arc_coordinate,relative_angle_deg,penetration,signed_distance,contact_normal_force_kn,normal_traction_estimate_mpa
25.51430761181397,4.872873811184837,0.0,0.0,0.0,0.0
26.81390916436399,5.1210794245507225,0.0,0.0,0.0,0.0
28.19267188598049,5.384403707546044,0.0,0.0,0.0,0.0
29.663948581376598,5.665396858019882,0.0,0.0,0.0,0.0
31.244299860234026,5.967221719441992,0.0,0.0,0.0,0.0
32.95486804911958,6.293916178750256,0.0,0.0,0.0,0.0
34.82227902486832,6.650565403839622,0.0,0.0,0.0,0.0
36.880932923764306,7.043739336789262,0.0,0.0,0.0,0.0
39.175605885251215,7.4819895903092135,0.0,0.0,0.0,0.0
41.76373105174722,7.9762850866152615,0.0,0.0,0.0,0.0
44.71733577896195,8.540382037346237,0.0,0.0,0.0,0.0
48.120837745126096,9.190403031431849,0.0,0.0,0.0,0.0
52.05689286491611,9.942134185747939,0.0,0.0,0.0,0.0
56.57329267721405,10.80470301187577,0.0,0.0,0.0,0.0
61.6406432170419,11.772495676027354,0.0,0.0,0.0,0.0
67.14056655333592,12.822903658744547,0.0,0.0,0.0,0.0
72.9157617804308,13.925884699999994,0.0,0.0,0.0,0.0
78.8352464932676,15.056423003125857,0.0,0.0,0.0,0.0
84.81941557429016,16.199315110576766,0.0,0.0,0.0,0.0
90.82923600404075,17.347106264764125,0.0,0.0,0.0,0.0
96.84826188940647,18.496655531468956,0.0,0.0,0.0,0.0
102.87031305490632,19.64678258411889,0.0,0.0,0.0,0.0
108.89327958602229,20.79708445872387,0.0,0.0,0.0,0.0
114.91650169694516,21.9474351454764,0.0,0.0,0.0,0.0
120.93978971219697,23.097798419028596,0.0,0.0,0.0,0.0
126.96309344122358,24.248164693690715,0.0,0.0,0.0,0.0
132.9864006341258,25.39853162990434,0.0,0.0,0.0,0.0
139.0097085331064,26.54889870096901,0.0,0.0,0.0,0.0
