contact_method,contact_parameter_name,contact_parameter_value,mesh,success,nodes,elements,candidate_facets,active_facets,active_gauss_points,nonlinear_iterations,linear_iterations,max_penetration,minimum_signed_distance,contact_force_norm_n,contact_force_norm_kn,max_normal_multiplier,mean_normal_multiplier,contact_state_relative_update_norm,assembly_time_seconds,solve_time_seconds,total_time_seconds,matrix_nonzeros,min_radial_step,max_radial_step,min_angular_step,max_angular_step,min_outer_arc_step,max_outer_arc_step,min_aspect_ratio,max_aspect_ratio,linear_solver_backend
penalty,penalty_parameter,2000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00124336,-0.00124336,227.72922161,0.22772922,0.00000000,0.00000000,0.00000000,4.10335770,121.03322490,129.13500370,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,5000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00049739,-0.00049739,227.75340152,0.22775340,0.00000000,0.00000000,0.00000000,3.96067250,121.93287320,129.85958460,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,10000.00000000,contact_focused_dense,true,77361,76800,222,212,0,11,0,0.00024870,-0.00024870,227.76148416,0.22776148,0.00000000,0.00000000,0.00000000,3.99658840,121.84607860,129.83540200,2764786,0.10433160,0.41663770,0.00048288,0.00616436,0.14245893,1.85179895,1.38824065,17.72220204,PardisoLDLT
penalty,penalty_parameter,10.00000000,contact_focused_heavy,true,120701,120000,286,278,0,5,0,0.24128309,-0.24128320,220.95627114,0.22095627,0.00000000,0.00000000,0.00000000,7.93825660,99.20661860,115.37839230,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,25.00000000,contact_focused_heavy,true,120701,120000,286,278,0,6,0,0.09827489,-0.09827493,225.00148469,0.22500148,0.00000000,0.00000000,0.00000000,8.05369190,115.41367850,131.82185520,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,50.00000000,contact_focused_heavy,true,120701,120000,286,278,0,6,0,0.04943826,-0.04943828,226.38598876,0.22638599,0.00000000,0.00000000,0.00000000,8.10394990,115.27878640,131.72141030,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,100.00000000,contact_focused_heavy,true,120701,120000,286,276,0,8,0,0.02479497,-0.02479498,227.07789627,0.22707790,0.00000000,0.00000000,0.00000000,8.42870910,148.01141290,165.21307400,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,250.00000000,contact_focused_heavy,true,120701,120000,286,276,0,9,0,0.00993631,-0.00993632,227.50594998,0.22750595,0.00000000,0.00000000,0.00000000,8.51426960,164.82124010,182.23864220,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,500.00000000,contact_focused_heavy,true,120701,120000,286,276,0,9,0,0.00497122,-0.00497122,227.64751923,0.22764752,0.00000000,0.00000000,0.00000000,8.50404040,164.98694940,182.29147040,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,1000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,10,0,0.00248637,-0.00248637,227.71782515,0.22771783,0.00000000,0.00000000,0.00000000,8.72487330,181.37172930,199.24588350,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,2000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,11,0,0.00124338,-0.00124338,227.75279625,0.22775280,0.00000000,0.00000000,0.00000000,8.76429730,198.30824210,216.28380790,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,5000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,12,0,0.00049740,-0.00049740,227.77370423,0.22777370,0.00000000,0.00000000,0.00000000,8.96274370,214.84639240,233.38174640,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
penalty,penalty_parameter,10000.00000000,contact_focused_heavy,true,120701,120000,286,276,0,12,0,0.00024871,-0.00024871,227.78065929,0.22778066,0.00000000,0.00000000,0.00000000,8.88618770,214.57383790,233.07358130,4319986,0.08034919,0.36108906,0.00036046,0.00531831,0.10650363,1.59744600,1.34566356,19.85431294,PardisoLDLT
augmented_lagrangian,augmentation_parameter,10.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,55,149871,0.00000001,-0.00000002,228.07970298,0.22807970,2.48855666,2.27944837,0.00000002,0.13738330,33.68658720,33.92130650,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,25.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,24,71393,0.00000001,-0.00000001,228.07970279,0.22807970,2.48855673,2.27944838,0.00000004,0.07595020,16.03152170,16.16049390,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,50.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,14,46679,0.00000001,-0.00000001,228.07970301,0.22807970,2.48855669,2.27944838,0.00000006,0.05606070,10.46631550,10.56197940,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,100.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,9,32954,0.00000000,-0.00000000,228.07970359,0.22807970,2.48855673,2.27944839,0.00000007,0.04482740,7.36839840,7.44608990,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,250.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,7,26712,0.00000000,-0.00000000,228.07970398,0.22807970,2.48855669,2.27944840,0.00000002,0.04062960,6.01099030,6.08135940,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,500.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,6,23622,0.00000000,-0.00000000,228.07970383,0.22807970,2.48855681,2.27944839,0.00000002,0.03736050,5.33209140,5.39786020,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,1000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,5,33394,0.00000000,-0.00000000,228.07970545,0.22807971,2.48855664,2.27944840,0.00000001,0.04628190,7.50153070,7.57885730,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,2000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,10,47042,0.00000000,-0.00000000,228.07969696,0.22807970,2.48855692,2.27944836,0.00000007,0.05831850,10.58936020,10.68510890,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,5000.00000000,contact_focused_very_coarse,true,4941,4800,48,44,88,5,54823,0.00000000,-0.00000000,228.07969852,0.22807970,2.48855777,2.27944846,0.00000005,0.06537430,12.30316010,12.40547280,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,10000.00000000,contact_focused_very_coarse,false,4941,4800,48,44,88,3,67130,0.00000000,inf,228.07972838,0.22807973,2.48856468,2.27944874,0.00008442,0.07880920,15.11378220,15.21549800,172786,0.51231105,1.22188166,0.00280757,0.01883118,0.81050310,5.66709332,1.64265939,11.01778208,ConjugateGradient
augmented_lagrangian,augmentation_parameter,10.00000000,contact_focused_coarse,false,11011,10800,74,70,140,80,0,0.00000004,inf,227.83685452,0.22783685,2.48749738,2.29408638,0.00000006,0.67949670,178.34997340,179.74547010,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,25.00000000,contact_focused_coarse,true,11011,10800,74,70,140,38,0,0.00000001,-0.00000001,227.83685485,0.22783685,2.48749738,2.29408639,0.00000004,0.35645940,85.66501790,86.49183950,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,50.00000000,contact_focused_coarse,true,11011,10800,74,70,140,22,0,0.00000001,-0.00000001,227.83685491,0.22783685,2.48749738,2.29408639,0.00000004,0.23723650,51.29608570,51.83484760,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,100.00000000,contact_focused_coarse,true,11011,10800,74,70,140,14,0,0.00000000,-0.00000000,227.83685494,0.22783685,2.48749738,2.29408639,0.00000003,0.17878740,33.22487980,33.66570700,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,250.00000000,contact_focused_coarse,true,11011,10800,74,70,140,9,0,0.00000000,-0.00000000,227.83685492,0.22783685,2.48749738,2.29408639,0.00000001,0.14127870,23.67016950,24.02171560,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,500.00000000,contact_focused_coarse,true,11011,10800,74,70,140,7,1987,0.00000000,-0.00000000,227.83685492,0.22783685,2.48749738,2.29408639,0.00000001,0.12051970,20.11458570,20.41588260,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,1000.00000000,contact_focused_coarse,true,11011,10800,74,70,140,5,5924,0.00000000,-0.00000000,227.83685508,0.22783686,2.48749738,2.29408639,0.00000006,0.10575980,15.35385880,15.58318440,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,PardisoLDLT
augmented_lagrangian,augmentation_parameter,2000.00000000,contact_focused_coarse,true,11011,10800,74,70,140,6,31773,0.00000000,-0.00000000,227.83685885,0.22783686,2.48749682,2.29408644,0.00000004,0.11239920,19.45165250,19.65399550,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
augmented_lagrangian,augmentation_parameter,5000.00000000,contact_focused_coarse,true,11011,10800,74,70,140,15,219629,0.00000000,-0.00000000,227.83686950,0.22783687,2.48749736,2.29408653,0.00000002,0.40823920,112.65239630,113.27580430,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
augmented_lagrangian,augmentation_parameter,10000.00000000,contact_focused_coarse,false,11011,10800,74,70,140,11,209547,0.00000000,inf,227.83683100,0.22783683,2.48749293,2.29408668,0.00000013,0.40106520,107.74923310,108.30235670,388786,0.31876433,0.88872031,0.00164472,0.01352726,0.47880889,4.06807929,1.54707957,12.72420159,ConjugateGradient
augmented_lagrangian,augmentation_parameter,10.00000000,contact_focused_medium,false,43621,43200,160,152,304,80,0,0.00002191,inf,227.78056707,0.22778057,2.48711528,2.29958621,0.00001403,5.85593140,821.36464330,834.90280030,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
augmented_lagrangian,augmentation_parameter,25.00000000,contact_focused_medium,true,43621,43200,160,152,304,66,0,0.00000001,-0.00000001,227.78078236,0.22778078,2.48711546,2.29958703,0.00000004,4.83721410,630.54376460,642.53998070,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
augmented_lagrangian,augmentation_parameter,50.00000000,contact_focused_medium,true,43621,43200,160,152,304,38,0,0.00000001,-0.00000001,227.78078242,0.22778078,2.48711546,2.29958703,0.00000005,3.21608760,375.19870810,382.92822090,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
augmented_lagrangian,augmentation_parameter,100.00000000,contact_focused_medium,true,43621,43200,160,152,304,25,0,0.00000000,-0.00000001,227.78078243,0.22778078,2.48711546,2.29958703,0.00000005,2.30626660,245.52371630,251.05796270,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
augmented_lagrangian,augmentation_parameter,250.00000000,contact_focused_medium,true,43621,43200,160,152,304,15,0,0.00000000,-0.00000000,227.78078243,0.22778078,2.48711546,2.29958703,0.00000004,1.81503760,159.64877110,163.86499170,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
augmented_lagrangian,augmentation_parameter,500.00000000,contact_focused_medium,true,43621,43200,160,152,304,10,0,0.00000000,-0.00000000,227.78078243,0.22778078,2.48711546,2.29958703,0.00000004,1.56924240,125.26857960,128.92065260,1555186,0.14580631,0.50921518,0.00070305,0.00757401,0.20690641,2.27572055,1.44619027,15.57993042,PardisoLDLT
