arc_coordinate,relative_angle_deg,active,facet_length,active_length,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0.029459057477517092,3.375759323790077,1,0.003352456041569221,0.003352456041569221,0.003459432324913032,0.0034656569036945195,115.97594798054553,34594.32324913033
0.03292156980781291,3.772534009865993,1,0.003572554739752505,0.003572554739752505,0.00343575966452575,0.0034432025025912943,122.74439474151947,34357.59664525751
0.03663268832443345,4.197796866416408,1,0.0038496651852512023,0.0038496651852512023,0.0034073355786220436,0.0034163033942044563,131.17101151489038,34073.355786220425
0.04065954975316011,4.6592411955165245,1,0.004204035779787876,0.004204035779787876,0.003372863266730447,0.003383798049698225,141.79637853667018,33728.63266730447
0.04509489944203926,5.167494831191401,1,0.0046666342761570246,0.0046666342761570246,0.003330433338333563,0.0033439954859474236,155.4191437112347,33304.33338333563
0.05007175985927992,5.737801025458617,1,0.005287044988604972,0.005287044988604972,0.0032771124370132927,0.0032943351261301157,173.26240887206154,32771.12437013293
0.055787162932564804,6.392737974089264,1,0.0061436978766705565,0.0061436978766705565,0.003208177939961601,0.003230754601274019,197.10075997723408,32081.779399616007
0.0625415011914181,7.166728125361334,1,0.007364873409625176,0.007364873409625176,0.003115611430928318,0.0031464780685242083,229.46083782368214,31156.114309283177
0.07079210516685164,8.112177697813735,1,0.009136140857187159,0.009136140857187159,0.002985166103627,0.003029612110863056,272.7289800483684,29851.661036270005
0.0811645603573643,9.300773509023614,1,0.011608381692062722,0.011608381692062722,0.002791414379409468,0.002858830982306354,324.03803576897496,27914.14379409468
0.09420712592469727,10.795341431085273,1,0.014475983081880906,0.014475983081880906,0.0024942569659251804,0.002598404275695146,361.06821640596513,24942.569659251803
0.1097911242847196,12.581136099021425,1,0.01669073295744148,0.01669073295744148,0.00203840595403023,0.0021974443486881823,340.22489437577303,20384.0595403023
0.12697694651653557,14.550486261711738,1,0.017679215373648086,0.017679215373648086,0.0013432311900683988,0.0015855521325176397,237.4727350582085,13432.311900683988
0.14479118886196973,16.59184806494496,1,0.017947384593269795,0.008973692296634897,0.0002510909750587098,0.0005021819501174196,45.06426297277779,2510.909750587098
0.16276487986498145,18.651481338434618,0,0.017998061944136258,0.0,0.0,0.0,0.0,0.0
0.1807675477289199,20.71443511559356,0,0.018005328950502768,0.0,0.0,0.0,0.0,0.0
0.19877425665613213,22.777851964493166,0,0.018006142760967084,0.0,0.0,0.0,0.0,0.0
0.21678140842993243,24.841319559873707,0,0.018006214500092984,0.0,0.0,0.0,0.0,0.0
0.23478859857229772,26.904791551967932,0,0.018006219485656467,0.0,0.0,0.0,0.0,0.0
0.2527957913446115,28.968263845432052,0,0.018006219759136948,0.0,0.0,0.0,0.0,0.0
