contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
outer,-15.563483461896848,0.5000000000000001,-0.008824226835656403,-0.004589662708568103,-0.0047201997575725945
outer,-13.537489061526168,0.5,-0.016461553365998846,-0.007630330273368028,-0.0056078669432662485
outer,-11.624783136516147,0.5,-0.02225271550768324,-0.00936572056702568,-0.005433162126269837
outer,-9.965899725653864,0.5,-0.02601071440119739,-0.01021859381788457,-0.005086362453353762
outer,-8.635647292392957,0.49999999999999994,-0.02848736055918965,-0.010631315980375079,-0.004676398837526993
outer,-7.588708103234156,0.49999999999999994,-0.0301285769297049,-0.010832928026396165,-0.004273991345782227
outer,-6.7447481474882585,0.4999999999999999,-0.031263528402722944,-0.010936218035332412,-0.003902666629227074
outer,-6.040727800690067,0.4999999999999999,-0.03208871347790523,-0.010992400510090053,-0.0035643914323119715
outer,-5.4348742502269625,0.5,-0.03271540050521477,-0.011024564556143411,-0.0032547769851292516
outer,-4.900115412155636,0.5,-0.03320748881258074,-0.011043617143757576,-0.0029687587730205093
outer,-4.41836697887726,0.5,-0.03360353541480868,-0.011055080201361266,-0.002701917278006129
outer,-3.977226753955403,0.5,-0.03392800596645909,-0.01106195715260443,-0.002450710278496108
outer,-3.567841265776456,0.5,-0.03419714427425633,-0.0110659750982567,-0.0022123196739667153
outer,-3.1836773818035704,0.5,-0.03442215838480224,-0.011068178880384758,-0.0019844903787479278
outer,-2.819801525751851,0.5,-0.034611019454373906,-0.011069227926312201,-0.0017654093173922237
outer,-2.472332717239211,0.5,-0.034769542363119306,-0.011069549625233883,-0.0015535731168164388
outer,-2.138204436226043,0.5,-0.034902043200649546,-0.011069431739794126,-0.0013477421322679304
outer,-1.8148726479112693,0.5000000000000001,-0.03501177078054477,-0.011069068820169102,-0.0011468486096392063
outer,-1.500222239866794,0.5,-0.035101183895147436,-0.011068596819816062,-0.0009499759048346504
outer,-1.1924329650492962,0.5,-0.03517213996636306,-0.011068110101653695,-0.0007563140417951158
outer,-0.8899068795812323,0.5,-0.0352260252118701,-0.01106767447877854,-0.0005651352447946183
outer,-0.5912033676193622,0.5,-0.03526384264380665,-0.011067334795110623,-0.0003757707850373667
outer,-0.2949878120276513,0.49999999999999994,-0.03528627147069584,-0.011067120094117347,-0.00018759212908026917
outer,2.5444437451708134e-14,0.4999999999999999,-0.03529370485834191,-0.011067046797256803,9.034602493285989e-12
outer,0.2949878120277276,0.5,-0.03528627149309151,-0.011067120135615081,0.00018759214391564951
outer,0.5912033676194131,0.5,-0.03526384267065897,-0.011067334835405613,0.00037577079934140366
outer,0.8899068795812831,0.5,-0.035226025222221465,-0.011067674472582736,0.0005651352552713889
outer,1.192432965049347,0.5000000000000001,-0.035172139960787566,-0.011068110046626988,0.0007563140486222874
outer,1.500222239866845,0.5000000000000001,-0.03510118389924088,-0.011068596775073916,0.0009499759153590679
outer,1.8148726479113202,0.5000000000000001,-0.03501177079976647,-0.011069068805048507,0.0011468486175337876
outer,2.138204436226094,0.5000000000000001,-0.034902043226162124,-0.011069431740407124,0.0013477421358862175
outer,2.472332717239262,0.5,-0.03476954237215828,-0.011069549587484096,0.001553573116497544
outer,2.8198015257519273,0.5,-0.03461101945871622,-0.011069227878144041,0.0017654093194750464
outer,3.1836773818036215,0.5,-0.03442215839798262,-0.01106817885993492,0.001984490386817973
outer,3.5678412657765324,0.5,-0.03419714428148952,-0.01106597506984425,0.00221231968167781
outer,3.977226753955454,0.5,-0.03392800597370088,-0.01106195712664065,0.0024507102828740003
outer,4.418366978877336,0.5,-0.03360353542122771,-0.011055080177874581,0.0027019172790885486
outer,4.9001154121557375,0.49999999999999994,-0.03320748881765834,-0.011043617124798379,0.0029687587753459747
outer,5.434874250227065,0.49999999999999994,-0.03271540051012627,-0.011024564543231842,0.003254776986674258
outer,6.040727800690169,0.4999999999999999,-0.032088713479127236,-0.010992400492559194,0.0035643914298627965
outer,6.7447481474883855,0.49999999999999994,-0.03126352840362767,-0.010936218020584046,0.003902666626981286
outer,7.588708103234283,0.49999999999999994,-0.030128576931963004,-0.01083292801672,0.004273991346062071
outer,8.63564729239316,0.49999999999999994,-0.028487360559292827,-0.010631315972528992,0.004676398838969222
outer,9.965899725654094,0.5,-0.02601071439637668,-0.010218593811895518,0.005086362455208913
outer,11.624783136516426,0.5000000000000001,-0.02225271549906072,-0.009365720564488738,0.005433162127272155
outer,13.537489061526424,0.5,-0.016461553351938177,-0.007630330270580178,0.005607866942781071
outer,15.563483461897052,0.5000000000000001,-0.008824226820734709,-0.004589662702575942,0.00472019975515684
outer,17.62021266799284,0.5,-0.0026421176827647074,-0.0009728561941862775,0.0023069652890017013
outer,19.682750008876425,0.49999999999999994,-0.0004103820696966825,0.001321319077961379,0.0003858855342429882
outer,21.74612022231072,0.5,-0.0001712472278914034,0.001852612288942016,-0.0001955240944409897
outer,23.809583706675614,0.49999999999999994,-7.474780921851276e-05,0.0015876032403647374,-0.00040772784696078843
outer,25.87305541307178,0.4999999999999999,3.312094774241018e-06,0.0009895050370738255,-0.00044700530031536843
outer,27.936527690864082,0.49999999999999994,8.199295064404669e-05,0.0003938076106336008,-0.0002996506473679641
outer,30.000000000000018,0.5,0.000115694655979614,0.0001368929608657066,-0.00017588632630921662
